food_name,food_group,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,vitamin_a_mcg,folate_mcg,zinc_mg,preparation_state,region,rag_description
"Fig, dry (anjeer)","Fruits",249,3.5,1.0,63.9,9.8,144,2.03,14,680,1,3,14,0.5,"Dried","Pan-India","Dried fig (anjeer), 249 kcal, very high fiber 9.8g, calcium 144mg, iron 2mg, prebiotic for gut health."
"Raisins (kishmish)","Fruits",299,3.1,0.5,79.2,3.7,50,1.88,11,749,2,0,5,0.2,"Dried","Pan-India","Raisins (kishmish), 299 kcal, high potassium 749mg, iron 1.88mg, natural sweetener and energy source."
"Tamarind (imli)","Fruits",239,2.8,0.6,62.5,5.1,74,2.8,28,628,3,2,14,0.1,"Raw","South India","Tamarind (imli), 239 kcal, high potassium 628mg, iron 2.8mg, tartaric acid for sourness. Sambar base."
"Ber (Indian jujube)","Fruits",74,0.8,0.07,17.0,0.6,25,0.76,3,272,76,5,40,0.5,"Raw","Rajasthan/UP","Indian jujube (ber), 74 kcal, vitamin C 76mg, folate 40mcg, potassium 272mg. Winter season fruit."
"Starfruit (carambola)","Fruits",31,1.0,0.3,6.7,2.8,3,0.08,2,133,34,3,12,0.1,"Raw","South India","Star fruit (carambola), 31 kcal, vitamin C 34mg, oxalic acid—avoid with kidney disease, high fiber."
"Wood apple (bael)","Fruits",137,1.8,0.3,31.8,2.9,85,0.6,55,600,8,186,85,0.5,"Raw","Pan-India","Bael (wood apple), 137 kcal, very high vitamin A 186mcg, calcium 85mg, potassium 600mg, medicinal fruit."
"Kokum (raw)","Fruits",62,0.5,0.1,15.7,0.4,25,1.7,6,238,7,6,3,0.1,"Raw","Konkan/Goa","Kokum, 62 kcal, hydroxycitric acid for appetite suppression, used in Konkani sol kadhi and rasam."
"Milk, cow, whole","Dairy",67,3.2,4.1,4.4,0,120,0.2,44,152,1,28,5,0.4,"Raw","Pan-India","Whole cow milk, 67 kcal, calcium 120mg, protein 3.2g, fat 4.1g, vitamin A 28mcg. Complete nutrition."
"Milk, buffalo, whole","Dairy",117,4.3,8.0,5.1,0,195,0.2,52,178,2,56,6,0.5,"Raw","Pan-India","Whole buffalo milk, 117 kcal, very high calcium 195mg and fat 8g, richer than cow milk. Paneer base."
"Milk, skim (toned)","Dairy",35,3.4,0.1,5.0,0,124,0.1,52,166,0,1,5,0.4,"Processed","Pan-India","Skimmed (toned) milk, 35 kcal, excellent calcium 124mg, high protein 3.4g, very low fat 0.1g."
"Curd (dahi), cow milk","Dairy",60,3.1,3.4,3.0,0,149,0.2,46,141,0,10,7,0.4,"Fermented","Pan-India","Homemade cow milk curd (dahi), 60 kcal, calcium 149mg, probiotics for gut, protein 3.1g."
"Curd (dahi), buffalo milk","Dairy",93,3.7,6.2,4.9,0,188,0.2,53,177,0,28,7,0.5,"Fermented","Pan-India","Buffalo milk curd, 93 kcal, high calcium 188mg, fat 6.2g, thick curd (chakka) base for shrikhand."
"Paneer (cottage cheese, cow)","Dairy",265,18.3,20.8,1.2,0,480,0.5,37,104,0,88,12,1.6,"Processed","Pan-India","Cow milk paneer, 265 kcal, excellent calcium 480mg, very high protein 18.3g, fat 20.8g. Vegetarian protein king."
"Paneer (cottage cheese, buffalo)","Dairy",321,14.0,27.5,3.1,0,527,0.4,62,116,0,100,10,1.2,"Processed","Pan-India","Buffalo milk paneer, 321 kcal, exceptional calcium 527mg, protein 14g, high fat 27.5g."
"Ghee (clarified butter, cow)","Dairy",900,0,99.5,0.5,0,4,0,2,5,0,600,0,0,"Processed","Pan-India","Cow ghee, 900 kcal, almost pure fat 99.5g, butyric acid for gut health, vitamin A 600mcg. Used sparingly."
"Butter (white, salted)","Dairy",729,0.5,81.0,0.4,0,19,0.1,576,23,0,683,3,0.1,"Processed","Pan-India","Salted white butter, 729 kcal, high sodium 576mg, fat 81g, vitamin A 683mcg. Used on roti and bread."
"Buttermilk (chaas/lassi thin)","Dairy",15,0.8,0.3,1.7,0,37,0.1,41,61,0,4,2,0.1,"Fermented","Pan-India","Buttermilk (chaas), 15 kcal, low calorie probiotic drink, calcium 37mg, summer cooling beverage."
"Lassi (sweet, full fat)","Dairy",84,3.5,3.7,10.5,0,135,0.1,58,145,0,18,5,0.4,"Processed","Punjab/North India","Sweet lassi, 84 kcal, calcium 135mg, protein 3.5g, probiotic, Punjabi cooling summer drink."
"Khoa/Mawa (unsweetened)","Dairy",421,15.6,31.2,21.0,0,500,0.4,112,435,0,200,18,1.7,"Processed","North India","Khoa (mawa), 421 kcal, exceptional calcium 500mg, protein 15.6g, base for barfi, halwa, mithai."
"Ice cream (vanilla, full fat)","Dairy",207,3.5,11.0,23.6,0,128,0.1,80,199,0,140,4,0.4,"Processed","Pan-India","Vanilla ice cream, 207 kcal, calcium 128mg, high sugar 23.6g, fat 11g. Treat food, limit intake."
"Cheese, processed (Amul type)","Dairy",313,20.0,24.0,3.0,0,620,0.3,750,120,0,300,8,2.5,"Processed","Pan-India","Processed cheese, 313 kcal, very high calcium 620mg, very high sodium 750mg, protein 20g."
"Whey protein powder","Dairy",352,80.0,4.0,7.0,0,400,0.5,300,500,0,0,20,4.0,"Processed","Pan-India","Whey protein powder, 352 kcal, excellent protein 80g per 100g, calcium 400mg, post-workout supplement."
"Egg, hen, whole","Eggs",173,13.3,13.3,0,0,60,1.79,129,138,0,160,47,1.1,"Raw","Pan-India","Whole hen egg, 173 kcal, complete protein 13.3g, vitamin A 160mcg, folate 47mcg, iron 1.79mg."
"Egg white (albumen) only","Eggs",52,10.9,0.2,0.7,0,7,0.1,166,163,0,0,4,0.0,"Raw","Pan-India","Egg white, 52 kcal, high protein 10.9g, near-zero fat, sodium 166mg, essential for low-fat high-protein diet."
"Egg yolk only","Eggs",358,16.0,30.9,0.3,0,129,2.7,48,109,0,381,146,2.3,"Raw","Pan-India","Egg yolk, 358 kcal, very high fat 30.9g, choline 146mg, vitamin A 381mcg, folate 146mcg, iron 2.7mg."
"Chicken, breast, boneless, raw","Meat",120,22.5,2.6,0,0,15,1.0,74,302,0,9,4,1.1,"Raw","Pan-India","Raw chicken breast, 120 kcal, excellent lean protein 22.5g, low fat 2.6g, potassium 302mg, best diet protein."
"Chicken, thigh, bone-in, raw","Meat",177,18.3,11.4,0,0,11,1.1,79,250,0,60,6,2.0,"Raw","Pan-India","Raw chicken thigh, 177 kcal, protein 18.3g, fat 11.4g including skin, iron 1.1mg."
"Chicken, liver, raw","Meat",119,17.0,4.9,0.7,0,11,8.99,71,220,27,3296,588,3.9,"Raw","Pan-India","Chicken liver, 119 kcal, extraordinarily high vitamin A 3296mcg, folate 588mcg, iron 8.99mg. Nutrient powerhouse."
"Mutton (goat meat), lean, raw","Meat",118,18.5,4.9,0,0,13,2.7,82,310,0,0,8,4.2,"Raw","Pan-India","Lean goat mutton, 118 kcal, protein 18.5g, high iron 2.7mg and zinc 4.2mg, heme iron for absorption."
"Beef, lean, raw","Meat",143,19.0,7.0,0,0,18,2.6,54,318,0,0,8,4.8,"Raw","Coastal/Northeast","Lean beef, 143 kcal, protein 19g, high zinc 4.8mg and iron 2.6mg. Consumed in coastal and NE India."
"Pork, lean, raw","Meat",143,20.1,7.2,0,0,19,1.1,53,358,0,2,5,2.5,"Raw","Northeast/Goa","Lean pork, 143 kcal, protein 20.1g, thiamine-rich, potassium 358mg. Consumed in Goa and Northeast India."
"Fish, rohu (Labeo rohita), raw","Fish",97,16.6,1.4,4.4,0,650,1.0,49,0,0,0,15,1.4,"Raw","East India/Bengal","Rohu fish, 97 kcal, protein 16.6g, exceptional calcium 650mg (with bones), omega-3 fatty acids."
"Fish, catla (Indian carp), raw","Fish",111,17.8,2.2,5.0,0,530,0.9,65,0,0,0,12,1.1,"Raw","East India/Bengal","Catla fish (Indian carp), 111 kcal, protein 17.8g, calcium 530mg (with bones), commonly eaten in Bengal."
"Fish, sardine (mathi), raw","Fish",163,21.1,8.4,0,0,351,2.9,307,397,0,41,10,1.3,"Raw","Kerala/Goa","Sardine (mathi), 163 kcal, exceptional calcium 351mg, iron 2.9mg, omega-3 rich, vitamin A 41mcg."
"Fish, mackerel (bangda), raw","Fish",205,21.8,13.9,0,0,66,1.4,83,314,0,50,7,0.6,"Raw","Kerala/Goa/Coastal","Mackerel (bangda), 205 kcal, high omega-3 DHA/EPA, protein 21.8g, vitamin A 50mcg. Weekly fish choice."
"Fish, pomfret (paplet), raw","Fish",112,19.4,3.3,0,0,26,0.5,81,305,0,13,9,0.5,"Raw","West India/Mumbai","Pomfret (paplet), 112 kcal, protein 19.4g, low fat, delicate flavor. Popular in Mumbai coastal cuisine."
"Prawn/Shrimp, raw","Seafood",106,20.3,1.7,0.9,0,59,1.8,152,185,0,54,9,1.1,"Raw","Coastal India","Raw prawn (shrimp), 106 kcal, excellent protein 20.3g, calcium 59mg, iron 1.8mg, cholesterol 166mg."
"Crab, raw","Seafood",87,18.1,1.1,0,0,89,0.7,293,264,0,0,0,3.8,"Raw","Coastal India","Raw crab, 87 kcal, protein 18.1g, high zinc 3.8mg, calcium 89mg, selenium antioxidant mineral."
"Almonds (badam), raw","Nuts",655,21.2,52.5,20.4,12.5,269,3.7,3,705,0,0,50,3.7,"Raw","Pan-India","Raw almonds, 655 kcal, excellent protein 21.2g, vitamin E, calcium 269mg, magnesium, fiber 12.5g."
"Walnuts (akhrot), raw","Nuts",685,15.2,65.2,13.7,6.7,98,2.9,2,441,1.3,1,98,3.1,"Raw","Jammu/Kashmir","Raw walnuts, 685 kcal, best plant omega-3 ALA 9g, protein 15.2g, calcium 98mg, folate 98mcg."
"Cashew nuts (kaju), raw","Nuts",596,18.2,46.9,26.9,3.3,45,6.7,12,660,0,0,25,5.8,"Raw","Goa/Kerala","Raw cashew nuts, 596 kcal, high iron 6.7mg and zinc 5.8mg, protein 18.2g, magnesium 292mg."
"Peanuts/Groundnuts, raw","Nuts",567,25.8,49.2,16.1,8.5,92,4.6,18,705,0,0,246,3.3,"Raw","Gujarat/AP","Raw groundnuts (peanuts), 567 kcal, excellent protein 25.8g, folate 246mcg, fiber 8.5g, niacin."
"Peanuts, roasted (bhuna sing)","Nuts",585,26.0,49.5,17.0,8.0,55,1.9,7,689,0,0,106,3.3,"Processed","Pan-India","Roasted peanuts, 585 kcal, protein 26g, good fat, fiber 8g. Popular Indian snack for winter evening."
"Pistachios (pista), raw","Nuts",562,20.2,45.4,27.5,10.6,107,3.9,1,1025,5.6,26,51,2.2,"Raw","Pan-India","Pistachios, 562 kcal, protein 20.2g, potassium 1025mg, calcium 107mg, fiber 10.6g, carotenoid lutein."
"Sesame seeds (til)","Oil Seeds",573,17.7,49.7,23.4,11.8,975,14.6,11,468,0,0,97,7.8,"Raw","Pan-India","Sesame seeds (til), 573 kcal, exceptional calcium 975mg, iron 14.6mg, zinc 7.8mg, protein 17.7g."
"Flaxseeds (alsi)","Oil Seeds",534,18.3,42.2,28.9,27.3,255,5.7,30,813,0.6,0,87,4.3,"Raw","Pan-India","Flaxseeds (alsi), 534 kcal, highest plant omega-3 ALA, fiber 27.3g, protein 18.3g, calcium 255mg."
"Sunflower seeds","Oil Seeds",584,20.8,51.5,20.0,8.6,78,5.3,9,645,1.4,3,227,5.0,"Raw","Pan-India","Sunflower seeds, 584 kcal, vitamin E 35.17mg (highest), protein 20.8g, folate 227mcg, magnesium."
"Pumpkin seeds (kaddu beej)","Oil Seeds",559,30.2,49.1,10.7,6.0,46,8.8,7,809,1.9,16,57,7.8,"Raw","Pan-India","Pumpkin seeds, 559 kcal, exceptional zinc 7.8mg and iron 8.8mg, protein 30.2g, magnesium, potassium 809mg."
"Chia seeds","Oil Seeds",486,16.5,30.7,42.1,34.4,631,7.7,16,407,1.6,14,49,4.6,"Raw","Pan-India","Chia seeds, 486 kcal, exceptional calcium 631mg, iron 7.7mg, omega-3 ALA, fiber 34.4g (highest), protein 16.5g."
"Coconut, desiccated (dry)","Nuts",592,6.9,57.2,23.7,16.3,26,3.3,37,543,0,0,12,2.0,"Processed","South India","Desiccated coconut, 592 kcal, high saturated fat 57g, MCT oils, fiber 16.3g, iron 3.3mg."
"Charoli seeds (chironji)","Nuts",596,31.4,55.4,0.2,3.8,279,5.7,27,640,6,0,56,3.9,"Raw","Pan-India","Charoli (chironji), 596 kcal, very high protein 31.4g, calcium 279mg, iron 5.7mg. Used in kheer and halwa."
"Lotus seeds (makhana, dry)","Nuts",350,9.7,0.1,76.9,0.5,60,1.4,5,367,0,0,15,1.0,"Processed","Bihar/East India","Dry lotus seeds (makhana), 350 kcal, low fat 0.1g, protein 9.7g, potassium 367mg. Popular fasting snack."
"Mustard oil (sarson ka tel)","Oils",900,0,99.9,0,0,0,0,0,0,0,0,0,0,"Processed","North/East India","Mustard oil, 900 kcal, erucic acid 40%, omega-3 ALA 6%, antibacterial, commonly used in Bengali cooking."
"Groundnut oil (moongfali tel)","Oils",900,0,99.9,0,0,0,0,0,0,0,0,0,0,"Processed","Gujarat/South India","Groundnut oil, 900 kcal, high monounsaturated MUFA, vitamin E, good for medium-high heat cooking."
"Coconut oil (nariyal tel)","Oils",900,0,99.9,0,0,0,0,0,0,0,0,0,0,"Processed","South India/Kerala","Coconut oil, 900 kcal, 90% saturated (lauric acid), MCT oil, antimicrobial, traditional Kerala cooking fat."
"Sesame oil (til ka tel)","Oils",900,0,99.9,0,0,0,0,0,0,0,0,0,0,"Processed","South India/Tamil Nadu","Sesame oil (gingelly), 900 kcal, sesamol antioxidant, lignan sesamin, good heat stability."
"Sunflower oil","Oils",900,0,99.9,0,0,0,0,0,0,0,0,0,0,"Processed","Pan-India","Sunflower oil, 900 kcal, highest vitamin E content, high omega-6, widely used for frying and cooking."
"Soybean oil (refined)","Oils",900,0,99.9,0,0,0,0,0,0,0,0,0,0,"Processed","Pan-India","Refined soybean oil, 900 kcal, balanced PUFA omega-6 and omega-3, commonly blended in vanaspati."
"Palm oil (refined)","Oils",900,0,99.9,0,0,0,0,0,0,0,240,0,0,"Processed","Pan-India","Refined palm oil, 900 kcal, beta-carotene 240mcg, high saturated fat 50%, widely used in processed foods."
"Olive oil, extra virgin","Oils",884,0,100.0,0,0,1,0.6,2,1,0,0,0,0,"Processed","Pan-India","Extra virgin olive oil, 884 kcal, oleic acid 73%, polyphenols, low smoke point, use cold or low heat."
"Vanaspati (vegetable ghee)","Oils",900,0,99.7,0,0,0,0,0,0,0,0,0,0,"Processed","Pan-India","Vanaspati (partially hydrogenated vegetable fat), 900 kcal, contains trans fats—avoid for health."
"Turmeric powder (haldi)","Spices",349,7.8,9.9,64.9,21.1,183,41.5,38,2525,25,0,39,4.5,"Processed","Pan-India","Turmeric powder, 349 kcal, curcumin anti-inflammatory, exceptional iron 41.5mg, potassium 2525mg."
"Cumin seeds (jeera)","Spices",375,17.8,22.3,44.2,10.5,931,66.4,168,1788,7.7,64,10,4.8,"Raw","Rajasthan/Gujarat","Cumin seeds (jeera), 375 kcal, extraordinary iron 66.4mg and calcium 931mg, digestive spice."
"Coriander seeds (dhania)","Spices",298,12.4,17.8,54.9,41.9,709,16.3,35,1267,21,0,0,4.7,"Raw","Pan-India","Coriander seeds (dhania), 298 kcal, very high calcium 709mg, iron 16.3mg, fiber 41.9g."
"Fenugreek seeds (methi dana)","Spices",323,26.2,5.8,58.4,24.6,176,13.7,67,770,3,60,57,2.5,"Raw","Pan-India","Fenugreek seeds (methi dana), 323 kcal, protein 26.2g, iron 13.7mg, fiber 24.6g, galactomannan for blood sugar."
"Mustard seeds (rai/sarson)","Spices",508,26.1,36.2,28.1,12.2,266,9.5,13,738,7,0,162,6.1,"Raw","Pan-India","Mustard seeds (rai), 508 kcal, protein 26.1g, calcium 266mg, iron 9.5mg, folate 162mcg, glucosinolates."
"Red chilli powder (lal mirch)","Spices",282,12.0,12.9,49.0,28.7,148,14.3,88,2014,0,2081,23,2.5,"Processed","Pan-India","Red chilli powder, 282 kcal, very high vitamin A 2081mcg, iron 14.3mg, capsaicin for metabolism."
"Black pepper (kali mirch)","Spices",255,10.4,3.3,63.9,25.3,443,9.7,20,1329,0,37,17,1.2,"Raw","Kerala/South India","Black pepper, 255 kcal, piperine enhances nutrient absorption (especially curcumin), calcium 443mg."
"Cardamom (elaichi)","Spices",311,10.8,6.7,68.5,28.0,383,13.97,18,1119,21,0,0,7.5,"Raw","Kerala/South India","Cardamom (elaichi), 311 kcal, calcium 383mg, iron 13.97mg, aromatic spice for chai and desserts."
"Cloves (laung)","Spices",274,6.0,13.0,65.5,33.9,646,11.8,277,1020,80.8,13,68,2.3,"Raw","Kerala/Zanzibar","Cloves (laung), 274 kcal, exceptional calcium 646mg, vitamin C 80.8mg, eugenol analgesic oil, iron 11.8mg."
"Cinnamon (dalchini)","Spices",247,4.0,1.2,79.8,53.1,1002,8.3,10,431,3.8,15,6,1.8,"Raw","Kerala/Sri Lanka","Cinnamon (dalchini), 247 kcal, exceptional calcium 1002mg, blood sugar regulatory, iron 8.3mg, cinnamaldehyde."
"Asafoetida (hing)","Spices",297,4.0,1.1,67.8,4.1,690,39.4,75,50,0,0,17,0.0,"Processed","Pan-India","Asafoetida (hing), 297 kcal, extraordinary iron 39.4mg, calcium 690mg, digestive and anti-bloating spice."
"Garam masala (mixed spice)","Spices",379,12.5,14.9,58.2,22.9,366,21.0,72,1232,7,95,22,3.8,"Processed","Pan-India","Garam masala blend, 379 kcal, iron 21mg, calcium 366mg, antioxidant spice blend used in all Indian curries."
"Jaggery (gur), cane","Sweeteners",383,0.4,0.1,98.0,0,80,2.64,30,1056,5,0,0,0.3,"Processed","Pan-India","Cane jaggery (gur), 383 kcal, iron 2.64mg, potassium 1056mg, calcium 80mg, better than refined sugar."
"Sugar, white (refined)","Sweeteners",398,0,0,99.9,0,1,0.01,1,2,0,0,0,0,"Processed","Pan-India","White refined sugar, 398 kcal, pure sucrose, no nutrients—limit to 25g/day per WHO guidelines."
"Honey (shehad)","Sweeteners",304,0.3,0,82.4,0.2,6,0.42,4,52,0.5,0,2,0.2,"Raw","Pan-India","Raw honey, 304 kcal, antimicrobial, fructose-rich, traces of antioxidants, polyphenols, natural sweetener."
"Besan ladoo","Sweets",463,8.6,24.5,57.6,1.5,65,2.9,4,380,0,45,60,1.5,"Cooked","Pan-India","Besan ladoo, 463 kcal, fat 24.5g from ghee, protein 8.6g, iron 2.9g. Festival sweet—eat in moderation."
"Gulab jamun (per piece ~30g)","Sweets",387,5.1,14.8,59.4,0.6,157,0.3,105,170,0,56,5,0.3,"Cooked","Pan-India","Gulab jamun, 387 kcal per 100g, calcium 157mg, high sugar 59g, fried milk solid in sugar syrup."
"Rasgulla (per piece ~40g)","Sweets",186,6.3,2.4,34.0,0.3,103,0.3,40,56,0,23,4,0.4,"Cooked","West Bengal","Rasgulla, 186 kcal per 100g, calcium 103mg, lower fat than most sweets, Bengali chenna-based sweet."
"Barfi (milk barfi)","Sweets",382,9.4,13.0,57.5,0,320,0.2,95,309,0,120,6,0.8,"Cooked","Pan-India","Milk barfi, 382 kcal, calcium 320mg from khoa, fat 13g from ghee, high sugar. Festival sweet."
"Halwa (suji/semolina)","Sweets",289,3.1,11.6,43.3,0.6,25,2.4,8,92,0,25,5,0.5,"Cooked","Pan-India","Semolina halwa, 289 kcal, fat 11.6g from ghee, moderate iron 2.4mg. Served as prasad and festive sweet."
"Kheer (rice pudding)","Sweets",144,4.7,5.8,17.3,0.2,167,0.2,56,175,0,49,5,0.4,"Cooked","Pan-India","Rice kheer, 144 kcal, calcium 167mg from milk, protein 4.7g, festive and light sweet."
"Peda (milk sweet)","Sweets",434,11.0,15.0,65.5,0,416,0.2,110,370,0,170,8,1.0,"Cooked","UP/Mathura","Milk peda, 434 kcal, calcium 416mg, protein 11g, high sugar 65g. Mathura's famous sweet."
"Chakli (fried, rice-besan)","Snacks",508,7.5,26.2,62.4,2.1,56,3.5,365,350,0,5,30,1.2,"Cooked","Maharashtra/South India","Chakli (murukku), 508 kcal, high fat 26.2g from deep frying, sodium 365mg. Festive fried snack."
"Mathri (fried snack)","Snacks",523,7.1,27.4,64.3,1.5,28,3.4,480,138,0,0,20,0.9,"Cooked","North India","Mathri, 523 kcal, very high fat 27.4g from frying, sodium 480mg, Diwali snack—limit intake."
"Namkeen mix (bhujiiya type)","Snacks",517,11.5,27.3,58.7,5.0,60,3.8,540,440,0,25,40,1.5,"Cooked","Rajasthan/Pan-India","Namkeen mix (bhujiiya), 517 kcal, very high sodium 540mg, fat 27.3g, fiber 5g. Snack—portion control."
"Roasted chana (bhuna chana)","Snacks",369,22.5,5.2,60.9,7.7,202,4.4,57,850,0,0,80,2.9,"Cooked","Pan-India","Roasted bengal gram (bhuna chana), 369 kcal, excellent protein 22.5g, fiber 7.7g, iron 4.4mg. Healthy snack."
"Popcorn, plain (air-popped)","Snacks",375,12.0,4.3,74.0,15.1,7,2.7,8,274,0,5,26,3.1,"Cooked","Pan-India","Air-popped plain popcorn, 375 kcal, high fiber 15.1g, protein 12g, low fat. Healthy whole grain snack."
"Vada pav (Mumbai street food)","Snacks",195,5.3,7.8,28.4,1.5,28,1.8,385,295,5,8,15,0.5,"Cooked","Maharashtra","Vada pav, 195 kcal, sodium 385mg, fat 7.8g from frying, protein 5.3g. Iconic Mumbai street snack."
"Samosa (fried, potato filling)","Snacks",262,5.8,14.1,31.3,2.2,22,1.6,298,220,6,5,18,0.4,"Cooked","Pan-India","Potato samosa, 262 kcal, fat 14.1g from deep frying, sodium 298mg, carbs 31.3g. Limit to occasional."
"Tea, masala chai (with milk & sugar)","Beverages",44,1.0,1.2,8.0,0,40,0.1,20,70,0,10,2,0.1,"Cooked","Pan-India","Masala chai, 44 kcal, calcium 40mg from milk, theaflavins antioxidants, natural antioxidant spices."
"Coffee, filter (with milk, no sugar)","Beverages",12,0.7,0.4,1.4,0,28,0.1,12,56,0,10,2,0.1,"Cooked","South India","South Indian filter coffee with milk no sugar, 12 kcal, chlorogenic acid antioxidant, calcium 28mg."
"Coconut water (nariyal pani)","Beverages",19,0.7,0.2,3.7,1.1,24,0.29,105,250,2.4,0,3,0.1,"Raw","Coastal India","Fresh coconut water, 19 kcal, natural electrolytes—potassium 250mg and sodium 105mg, hydrating."
"Lassi, sweet (full fat)","Beverages",84,3.5,3.7,10.5,0,130,0.1,55,140,0,16,5,0.3,"Fermented","Punjab","Sweet lassi, 84 kcal, calcium 130mg, probiotic, Punjabi summer cooling drink with probiotic benefits."
"Nimbu paani (lemon water, sugar)","Beverages",30,0.1,0,7.6,0,3,0.1,10,18,11,0,2,0,"Cooked","Pan-India","Nimbu paani, 30 kcal, vitamin C 11mg from lemon, electrolyte drink, low calorie cooling summer drink."
"Aam panna (raw mango drink)","Beverages",57,0.3,0.1,14.0,0.5,8,0.2,2,45,24,6,6,0.1,"Cooked","North India","Aam panna, 57 kcal, vitamin C 24mg, iron 0.2mg, cooling summer drink made from boiled raw mangoes."
"Jaljeera (cumin-mint water)","Beverages",20,0.5,0.3,4.5,0.4,25,0.8,320,80,5,5,5,0.2,"Cooked","North India","Jaljeera, 20 kcal, digestive spiced water, cumin iron, sodium 320mg, Ayurvedic digestive aperitif."
"Turmeric milk (haldi doodh)","Beverages",83,3.0,4.0,8.5,0,120,0.3,46,148,1,30,5,0.4,"Cooked","Pan-India","Turmeric milk (golden milk), 83 kcal, calcium 120mg, curcumin anti-inflammatory, protein 3g, milk-based."
"Sattu drink (roasted chana)","Beverages",50,3.0,0.7,9.0,1.5,30,0.9,15,150,0,0,20,0.6,"Cooked","Bihar/UP","Sattu drink, 50 kcal, protein 3g from roasted chana, fiber 1.5g, traditional cooling Bihar summer drink."
"Sugarcane juice (ganna ras)","Beverages",40,0.1,0.2,9.7,0,10,0.37,8,140,0,0,0,0.1,"Raw","Pan-India","Sugarcane juice, 40 kcal, natural iron 0.37mg, potassium 140mg, instant energy. Freshly squeezed is best."
"Idli (fermented rice-urad)","Fermented Foods",132,4.2,0.5,27.7,0.5,20,1.0,156,78,0,0,9,0.5,"Cooked","South India","Steamed fermented idli, 132 kcal, B12 from fermentation, easily digestible, low fat breakfast food."
"Dhokla (steamed besan)","Fermented Foods",160,7.0,4.5,23.0,1.2,48,1.5,340,150,5,15,35,0.7,"Cooked","Gujarat","Steamed dhokla, 160 kcal, protein 7g from besan, probiotic fermentation, calcium 48mg, low fat."
"Kanji (fermented black carrot)","Fermented Foods",30,0.5,0.2,7.0,0.8,18,0.5,82,130,10,180,5,0.2,"Fermented","Rajasthan/North India","Fermented kanji drink, 30 kcal, probiotic, vitamin A 180mcg from carrot, lactobacillus bacteria."
"Ambali (fermented millet porridge)","Fermented Foods",68,2.4,0.7,14.5,1.5,25,1.2,15,120,0,0,12,0.5,"Fermented","Tamil Nadu/South India","Fermented ragi ambali, 68 kcal, probiotic cooling drink, calcium 25mg, traditional Tamil Nadu diet."
"Rabadi (fermented millet gruel)","Fermented Foods",62,2.0,1.0,12.0,1.2,30,0.8,20,100,0,0,10,0.4,"Fermented","Rajasthan","Rabadi (fermented bajra gruel), 62 kcal, probiotic, calcium 30mg, traditional Rajasthani cooling food."
"Bread, whole wheat (store-bought)","Processed Foods",252,8.9,2.7,49.3,3.5,72,2.9,470,135,0,0,30,1.1,"Processed","Pan-India","Packaged whole wheat bread, 252 kcal, fiber 3.5g, high sodium 470mg, protein 8.9g, iron 2.9mg."
"Biscuits, Marie (tea biscuits)","Processed Foods",432,7.4,9.2,77.4,0.9,32,3.3,307,88,0,0,11,0.6,"Processed","Pan-India","Marie biscuits, 432 kcal, high carbs 77g, sodium 307mg, low fiber, refined sugar. Limit intake."
"Cornflakes (sugar-coated)","Processed Foods",379,7.5,0.9,84.4,1.2,4,10.8,533,100,0,0,12,0.3,"Processed","Pan-India","Sugar-coated cornflakes, 379 kcal, high sodium 533mg, iron fortified 10.8mg, high glycemic. Add milk/fruit."
"Instant noodles (Maggi type)","Processed Foods",431,9.5,17.9,60.1,2.2,30,2.7,906,90,0,0,10,0.5,"Cooked","Pan-India","Instant noodles, 431 kcal, very high sodium 906mg, fat 17.9g from palm oil, low nutrition. Limit intake."
"Chips, potato (salted)","Processed Foods",536,7.0,34.6,53.0,4.4,14,2.2,525,1557,14,0,18,0.9,"Processed","Pan-India","Salted potato chips, 536 kcal, high fat 34.6g, high sodium 525mg, high potassium 1557mg. Snack food."
"Moringa powder (drumstick leaf)","Superfoods",329,29.4,5.2,41.8,19.2,2185,28.3,870,1324,17,1573,40,0,"Processed","South India","Moringa leaf powder, 329 kcal, exceptional calcium 2185mg, iron 28.3mg, vitamin A 1573mcg, protein 29.4g. Superfood."
"Spirulina powder","Superfoods",290,57.5,7.7,23.9,3.6,120,28.5,1048,1363,10.1,29,94,2.0,"Processed","Pan-India","Spirulina, 290 kcal, extraordinary protein 57.5g, iron 28.5mg, high sodium 1048mg, phycocyanin pigment."
"Sattu flour (roasted chana)","Superfoods",406,22.5,5.7,67.6,3.9,202,4.4,30,850,0,0,80,2.9,"Processed","Bihar/UP","Sattu (roasted Bengal gram flour), 406 kcal, protein 22.5g, fiber 3.9g, iron 4.4mg, prebiotic, summer staple."
"Tulsi leaves (fresh)","Superfoods",23,3.2,0.6,2.7,1.6,177,3.2,4,295,18,264,68,0.5,"Raw","Pan-India","Holy basil (tulsi) leaves, 23 kcal, calcium 177mg, iron 3.2mg, vitamin A 264mcg, Ayurvedic immunity herb."
"Ashwagandha powder (withania)","Superfoods",245,3.9,0.3,49.9,32.3,277,3.3,17,0,0,0,0,0.5,"Processed","Pan-India","Ashwagandha root powder, 245 kcal, withanolides adaptogen, iron 3.3mg, calcium 277mg, stress-reducing herb."
